	time	x	y	theta	v	omega
0	3.14	0.000	0.000	1.5708	0.000	-0.000
1	3.21	0.000	0.000	1.5708	-0.000	0.000
2	3.28	-0.000	-0.000	1.5708	0.000	0.000
3	3.35	-0.000	-0.000	1.5708	0.000	0.000
4	3.42	-0.000	-0.000	1.5708	0.000	-0.000
5	3.48	-0.000	0.000	1.5708	0.000	0.000
6	3.58	-0.000	0.000	1.5708	0.000	-0.000
7	3.65	-0.000	0.000	1.5708	0.003	-0.003
8	3.72	-0.000	0.000	1.5706	0.007	0.014
9	3.79	0.000	0.001	1.5715	0.001	0.003
10	3.85	0.000	0.001	1.5718	0.001	-0.000
11	3.92	-0.000	0.001	1.5718	0.001	-0.000
12	4.00	-0.000	0.001	1.5717	0.000	-0.001
13	4.07	-0.000	0.001	1.5716	0.000	0.001
14	4.13	-0.000	0.001	1.5717	0.001	0.002
15	4.21	-0.000	0.001	1.5719	0.001	0.002
16	4.28	-0.000	0.001	1.5720	0.001	0.003
17	4.35	-0.000	0.001	1.5722	0.001	0.003
18	4.42	-0.000	0.001	1.5724	0.001	0.003
19	4.49	-0.000	0.001	1.5726	0.001	0.005
20	4.56	-0.000	0.001	1.5729	0.002	0.005
21	4.63	-0.000	0.001	1.5733	0.004	0.005
22	4.70	-0.000	0.002	1.5736	0.008	0.007
23	4.79	-0.000	0.002	1.5743	0.014	0.009
24	4.86	-0.000	0.003	1.5749	0.022	0.011
25	4.93	-0.000	0.005	1.5757	0.032	0.020
26	5.00	-0.000	0.007	1.5772	0.047	0.027
27	5.08	-0.000	0.011	1.5791	0.056	0.017
28	5.15	-0.000	0.015	1.5803	0.065	0.021
29	5.22	-0.000	0.019	1.5818	0.071	0.031
30	5.29	-0.000	0.024	1.5840	0.075	0.007
31	5.38	-0.000	0.031	1.5847	0.080	-0.009
32	5.45	-0.000	0.036	1.5840	0.079	-0.015
33	5.52	-0.000	0.042	1.5829	0.086	-0.018
34	5.59	-0.000	0.048	1.5817	0.093	-0.037
35	5.69	-0.001	0.057	1.5782	0.095	0.006
36	5.76	-0.001	0.064	1.5786	0.104	0.005
37	5.84	-0.001	0.073	1.5789	0.107	0.028
38	5.92	-0.001	0.081	1.5810	0.111	0.015
39	5.99	-0.001	0.089	1.5820	0.130	-0.001
40	6.06	-0.001	0.098	1.5820	0.141	0.037
41	6.13	-0.001	0.108	1.5846	0.137	-0.013
42	6.20	-0.001	0.118	1.5837	0.134	0.031
43	6.27	-0.001	0.127	1.5859	0.138	0.002
44	6.36	-0.002	0.139	1.5861	0.134	0.009
45	6.43	-0.002	0.149	1.5867	0.129	-0.010
46	6.51	-0.002	0.160	1.5859	0.114	-0.001
47	6.59	-0.002	0.168	1.5858	0.114	-0.041
48	6.67	-0.002	0.177	1.5823	0.103	-0.042
49	6.74	-0.002	0.185	1.5793	0.098	-0.054
50	6.82	-0.002	0.192	1.5755	0.074	-0.076
51	6.89	-0.002	0.197	1.5701	0.077	-0.051
52	6.96	-0.002	0.203	1.5665	0.077	-0.090
53	7.03	-0.002	0.208	1.5601	0.066	-0.088
54	7.10	-0.002	0.213	1.5538	0.059	-0.121
55	7.19	-0.002	0.218	1.5436	0.052	-0.127
56	7.26	-0.002	0.222	1.5346	0.051	-0.126
57	7.33	-0.002	0.225	1.5257	0.053	-0.143
58	7.42	-0.002	0.230	1.5124	0.045	-0.104
59	7.49	-0.001	0.233	1.5049	0.045	-0.103
60	7.58	-0.001	0.237	1.4962	0.045	-0.104
61	7.65	-0.001	0.240	1.4888	0.040	-0.096
62	7.73	-0.001	0.244	1.4807	0.042	-0.098
63	7.80	-0.000	0.247	1.4738	0.039	-0.095
64	7.87	-0.000	0.249	1.4670	0.039	-0.096
65	7.95	0.000	0.252	1.4602	0.034	-0.070
66	8.03	0.000	0.255	1.4543	0.032	-0.048
67	8.14	0.001	0.258	1.4491	0.034	-0.033
68	8.21	0.001	0.261	1.4468	0.025	-0.023
69	8.28	0.001	0.263	1.4451	0.009	0.002
70	8.35	0.001	0.263	1.4453	0.001	0.005
71	8.44	0.001	0.263	1.4457	0.002	0.007
72	8.51	0.001	0.263	1.4462	0.001	0.005
73	8.59	0.001	0.264	1.4467	0.001	0.004
74	8.66	0.001	0.264	1.4469	0.008	0.014
75	8.75	0.002	0.264	1.4481	0.012	0.025
76	8.82	0.002	0.265	1.4499	0.014	0.046
77	8.89	0.002	0.266	1.4532	0.017	0.058
78	8.96	0.002	0.267	1.4574	0.021	0.070
79	9.04	0.002	0.269	1.4632	0.020	0.054
80	9.12	0.002	0.271	1.4671	0.022	0.027
81	9.19	0.002	0.272	1.4690	0.027	-0.002
82	9.29	0.003	0.275	1.4688	0.040	-0.020
83	9.37	0.003	0.278	1.4673	0.041	-0.025
84	9.44	0.003	0.281	1.4656	0.051	-0.016
85	9.51	0.004	0.284	1.4645	0.055	-0.022
86	9.59	0.004	0.289	1.4626	0.045	0.008
87	9.66	0.005	0.292	1.4632	0.028	-0.013
88	9.75	0.005	0.294	1.4621	0.020	-0.003
89	9.86	0.005	0.297	1.4618	0.008	0.000
90	9.93	0.005	0.297	1.4618	0.006	0.006
91	10.00	0.005	0.297	1.4623	0.010	-0.001
92	10.07	0.005	0.298	1.4622	0.016	-0.000
93	10.15	0.005	0.299	1.4622	0.022	0.001
94	10.23	0.006	0.301	1.4623	0.029	0.000
95	10.31	0.006	0.304	1.4623	0.042	-0.007
96	10.38	0.006	0.306	1.4619	0.051	0.009
97	10.47	0.007	0.311	1.4626	0.050	0.016
98	10.54	0.007	0.314	1.4638	0.037	0.022
99	10.62	0.007	0.317	1.4657	0.038	0.026
100	10.69	0.008	0.320	1.4675	0.047	0.034
101	10.77	0.008	0.323	1.4700	0.062	0.023
102	10.84	0.008	0.328	1.4716	0.064	0.025
103	10.91	0.009	0.332	1.4734	0.061	0.024
104	10.98	0.009	0.337	1.4751	0.062	0.025
105	11.05	0.010	0.341	1.4769	0.079	0.034
106	11.12	0.010	0.347	1.4794	0.084	0.016
107	11.19	0.011	0.353	1.4805	0.074	0.020
108	11.28	0.011	0.359	1.4822	0.058	0.022
109	11.35	0.012	0.363	1.4838	0.047	-0.000
110	11.42	0.012	0.366	1.4838	0.057	-0.019
111	11.49	0.012	0.370	1.4824	0.062	0.001
112	11.58	0.013	0.376	1.4825	0.062	0.002
113	11.65	0.013	0.380	1.4826	0.055	0.000
114	11.72	0.014	0.384	1.4826	0.071	0.009
115	11.79	0.014	0.389	1.4832	0.079	0.004
116	11.87	0.015	0.396	1.4836	0.072	0.023
117	11.95	0.015	0.401	1.4852	0.066	0.018
118	12.03	0.015	0.406	1.4867	0.070	0.009
119	12.14	0.016	0.414	1.4877	0.073	0.010
120	12.21	0.017	0.419	1.4884	0.059	0.010
121	12.29	0.017	0.424	1.4893	0.052	0.010
122	12.37	0.017	0.428	1.4900	0.054	0.002
123	12.45	0.018	0.432	1.4902	0.057	0.006
124	12.52	0.018	0.436	1.4906	0.044	0.010
125	12.59	0.018	0.439	1.4914	0.037	-0.002
126	12.66	0.018	0.442	1.4912	0.028	0.013
127	12.75	0.019	0.444	1.4923	0.020	0.001
128	12.84	0.019	0.446	1.4924	0.013	0.004
129	12.91	0.019	0.447	1.4927	0.015	-0.001
130	13.00	0.019	0.449	1.4926	0.019	0.006
131	13.07	0.019	0.450	1.4930	0.015	-0.001
132	13.15	0.019	0.451	1.4929	0.008	0.000
133	13.23	0.019	0.452	1.4929	0.009	-0.003
134	13.30	0.019	0.452	1.4927	0.011	-0.005
135	13.37	0.019	0.453	1.4923	0.008	-0.011
136	13.45	0.019	0.454	1.4913	0.002	-0.012
137	13.52	0.019	0.454	1.4905	0.000	-0.001
138	13.61	0.019	0.454	1.4904	0.000	0.001
139	13.68	0.019	0.454	1.4904	0.001	-0.001
140	13.75	0.019	0.454	1.4904	0.002	-0.003
141	13.82	0.019	0.454	1.4901	0.004	-0.001
142	13.90	0.019	0.454	1.4901	0.003	0.000
143	13.97	0.019	0.455	1.4901	0.000	0.000
144	14.05	0.019	0.455	1.4901	-0.000	0.000
145	14.14	0.019	0.455	1.4901	-0.001	0.001
146	14.21	0.019	0.455	1.4902	-0.001	-0.001
147	14.28	0.019	0.455	1.4901	-0.001	0.000
148	14.35	0.019	0.454	1.4901	0.000	0.000
149	14.44	0.019	0.454	1.4901	0.001	-0.001
150	14.51	0.019	0.455	1.4900	0.000	0.000
151	14.59	0.019	0.455	1.4900	0.000	-0.001
152	14.66	0.019	0.455	1.4900	0.001	0.001
153	14.75	0.019	0.455	1.4900	0.000	-0.000
154	14.82	0.019	0.455	1.4900	-0.000	0.000
155	14.89	0.019	0.455	1.4901	0.000	-0.000
156	14.96	0.019	0.455	1.4900	0.000	0.001
157	15.06	0.019	0.455	1.4901	-0.001	-0.000
158	15.13	0.019	0.455	1.4901	0.000	0.001
159	15.20	0.019	0.455	1.4901	0.000	-0.001
160	15.28	0.019	0.455	1.4900	0.000	-0.000
161	15.35	0.019	0.455	1.4900	0.000	0.000
162	15.42	0.019	0.455	1.4900	-0.000	0.000
163	15.49	0.019	0.455	1.4900	-0.001	-0.001
164	15.56	0.019	0.455	1.4900	0.000	0.000
165	15.63	0.019	0.455	1.4900	0.001	-0.001
166	15.72	0.019	0.455	1.4898	0.005	-0.004
167	15.79	0.019	0.455	1.4895	0.008	-0.006
168	15.86	0.019	0.456	1.4891	0.008	-0.019
169	15.93	0.020	0.456	1.4878	0.005	-0.011
170	16.01	0.020	0.457	1.4868	0.002	-0.009
