	time	x	y	theta	v	omega
0	2.56	0	0.445	0.0528	-0.00	0.405
1	2.65	0	0.445	0.0321	-0.00	0.234
2	2.75	0	0.445	0.0030	0.01	0.314
3	2.84	0	0.444	-0.0123	0.01	0.166
4	2.93	0	0.443	-0.0192	0.01	0.078
5	3.01	0	0.442	-0.0246	0.01	0.061
6	3.11	0	0.442	-0.0303	1.83	-0.909
7	3.19	0	0.441	-0.0233	0.01	-0.081
8	3.28	0	0.441	-0.0165	0.00	-0.076
9	3.37	0	0.440	-0.0151	0.01	-0.015
10	3.46	0	0.440	-0.0085	0.00	-0.074
11	3.55	0	0.440	-0.0012	0.00	-0.080
12	3.66	0	0.440	0.0025	-0.00	-0.035
13	3.75	0	0.440	0.0092	0.00	-0.071
14	3.84	0	0.440	0.0072	-0.00	0.022
15	3.94	0	0.440	0.0108	0.00	-0.040
16	4.03	0	0.440	0.0151	-0.00	-0.046
17	4.12	0	0.440	0.0135	0.00	0.019
18	4.21	0	0.440	0.0184	0.01	-0.053
19	4.31	0	0.440	0.0099	0.04	0.092
20	4.40	0	0.440	0.0015	0.04	0.089
21	4.49	0	0.440	0.0027	0.05	-0.011
22	5.15	0	0.443	0.0018	0.06	0.002
23	5.24	0	0.474	0.0162	-0.26	-0.158
24	5.33	0	0.502	0.0412	-0.19	-0.271
25	5.42	0	0.525	0.0506	-0.17	-0.096
26	5.51	0	0.544	0.0770	-0.15	-0.277
27	5.61	0	0.563	0.0506	-0.16	0.296
28	5.70	0	0.578	0.0720	-0.14	-0.212
29	5.79	0	0.591	0.0648	-0.13	0.102
30	5.89	0	0.598	0.0544	-0.08	0.118
31	5.98	0	0.603	0.0431	-0.06	0.154
32	6.07	0	0.603	0.0330	-0.02	0.143
33	6.17	0	0.600	0.0372	0.02	-0.019
34	6.25	0	0.595	0.0316	0.04	0.092
35	6.35	0	0.591	0.0323	0.04	0.022
36	6.44	0	0.587	0.0351	0.04	-0.007
37	6.53	0	0.583	0.0370	0.04	0.003
38	6.62	0	0.580	0.0414	0.04	-0.025
39	6.72	0	0.577	0.0467	0.03	-0.029
40	6.80	0	0.576	0.0503	0.03	-0.016
41	6.91	0	0.575	0.0464	0.02	0.065
42	7.00	0	0.574	0.0520	0.02	-0.029
43	7.09	0	0.573	0.0512	0.02	0.034
44	7.19	0	0.573	0.0535	0.02	0.001
45	7.28	0	0.574	0.0495	0.00	0.071
46	7.37	0	0.575	0.0459	-0.00	0.066
47	7.46	0	0.578	0.0295	-0.01	0.208
48	7.55	0	0.579	0.0139	-0.00	0.194
49	7.64	0	0.580	-0.0077	0.00	0.253
50	7.74	0	0.580	-0.0204	0.00	0.155
51	7.83	0	0.580	-0.0329	0.01	0.145
52	7.92	0	0.581	-0.0383	-0.00	0.067
53	8.01	0	0.581	-0.0388	0.01	0.012
54	8.09	0	0.581	-0.0353	0.00	-0.035
55	8.18	0	0.581	-0.0338	0.00	-0.014
56	8.27	0	0.582	-0.0312	0.00	-0.024
57	8.38	0	0.582	-0.0289	0.00	-0.017
58	8.47	0	0.583	-0.0289	-0.00	0.007
