,time,x,y,theta,v,omega,x_force,y_force,z_force,x_torque,y_torque,z_torque
0,2.16,0,0.524,0.0539,-0.00,0.007,-0.8362,-0.6131,1.3720,0.0031,0.0015,0.0124
1,2.25,0,0.524,0.0545,-0.00,-0.007,-0.7602,-0.2299,1.7530,0.0015,0.0046,0.0216
2,2.35,0,0.523,0.0661,0.01,-0.121,-0.4561,0.0766,1.4482,0.0046,0.0031,0.0155
3,2.44,0,0.523,0.0654,0.01,0.007,-0.1520,-0.7664,1.3720,0.0046,0.0031,0.0108
4,2.54,0,0.522,0.0673,0.01,-0.019,-0.9123,-0.7664,1.7530,-0.0642,0.0138,0.0124
5,2.64,0,0.521,0.0657,0.01,0.016,-0.9123,-0.4598,1.2195,0.0687,-0.0199,0.0155
6,2.75,0,0.520,0.0670,0.01,-0.011,-0.2281,-0.6898,0.6860,0.1833,-0.0399,-0.0680
7,2.84,0,0.520,0.0757,0.00,-0.091,0.2281,2.3758,-1.6006,0.6140,-0.0659,-0.1484
8,2.94,0,0.519,0.0710,0.00,0.049,-0.4561,4.1386,-3.8872,0.9470,-0.1395,-0.3680
9,3.04,0,0.519,0.0653,0.00,0.059,0.1520,7.2808,-6.3262,1.2632,-0.2376,-0.4314
10,3.13,0,0.518,0.0613,0.01,0.042,0.0000,8.7370,-7.0122,1.3227,-0.2299,-0.4329
11,3.23,0,0.519,0.0603,0.01,0.003,-0.0760,11.1128,-7.9268,1.3976,-0.1579,-0.3819
12,3.32,0,0.518,0.0670,0.02,-0.084,1.0643,10.8829,-9.1463,1.6404,-0.1931,-0.3726
13,3.44,0,0.519,0.0720,0.02,-0.068,0.4561,12.1858,-9.6799,1.7947,-0.1042,-0.0819
14,3.53,0,0.520,0.0818,0.02,-0.124,1.7485,12.4157,-9.6799,1.7947,-0.0215,0.2644
15,3.63,0,0.524,0.0786,0.02,0.010,0.4561,10.9595,-9.1463,1.8787,-0.1088,0.1500
16,3.72,0,0.528,0.1066,0.02,-0.320,0.2281,9.9632,-9.9085,1.9581,-0.1211,0.0510
17,3.82,0,0.533,0.1124,0.03,-0.108,1.3684,11.4194,-9.8323,2.0574,-0.0751,-0.0077
18,3.91,0,0.540,0.1272,0.01,-0.186,-0.5322,10.8063,-10.2134,1.9963,-0.1517,-0.2211
19,4.01,0,0.548,0.1367,0.01,-0.136,0.9883,10.4997,-10.4421,2.1430,0.0230,0.0557
20,4.12,0,0.557,0.1367,0.03,-0.042,3.9532,9.2735,-10.2134,2.1857,0.4261,0.6664
