,time,x,y,theta,v,omega
0,3.16,0.000,0.000,1.5708,0.003,-0.003
1,3.23,0.000,0.000,1.5706,0.010,-0.007
2,3.30,0.000,0.001,1.5701,0.015,-0.014
3,3.37,0.000,0.002,1.5691,0.025,-0.024
4,3.44,0.000,0.004,1.5674,0.031,-0.026
5,3.51,0.000,0.006,1.5656,0.040,-0.022
6,3.58,0.000,0.009,1.5640,0.053,-0.022
7,3.65,0.000,0.012,1.5624,0.062,-0.021
8,3.72,0.000,0.017,1.5609,0.070,-0.028
9,3.79,0.000,0.022,1.5589,0.083,-0.048
10,3.86,0.000,0.028,1.5555,0.085,-0.032
11,3.93,0.000,0.034,1.5533,0.095,-0.037
12,4.02,0.000,0.042,1.5502,0.105,-0.055
13,4.09,0.001,0.049,1.5463,0.112,-0.042
14,4.17,0.001,0.059,1.5427,0.118,-0.066
15,4.24,0.001,0.067,1.5380,0.132,-0.073
16,4.33,0.001,0.078,1.5318,0.140,-0.040
17,4.40,0.002,0.088,1.5289,0.146,-0.138
18,4.47,0.002,0.099,1.5191,0.154,-0.048
19,4.54,0.003,0.109,1.5157,0.152,-0.081
20,4.63,0.004,0.122,1.5089,0.156,-0.083
21,4.70,0.004,0.133,1.5029,0.153,-0.055
22,4.78,0.005,0.146,1.4983,0.162,-0.048
23,4.85,0.006,0.158,1.4949,0.190,-0.053
24,4.94,0.007,0.174,1.4903,0.178,-0.065
25,5.01,0.008,0.187,1.4857,0.171,-0.034
26,5.10,0.009,0.201,1.4828,0.185,-0.032
27,5.17,0.011,0.214,1.4805,0.194,-0.074
28,5.25,0.012,0.230,1.4743,0.189,-0.058
29,5.32,0.013,0.244,1.4702,0.190,-0.025
30,5.39,0.015,0.257,1.4684,0.191,-0.046
31,5.46,0.016,0.271,1.4651,0.208,-0.045
32,5.55,0.018,0.288,1.4613,0.217,-0.049
33,5.62,0.020,0.304,1.4578,0.219,-0.051
34,5.70,0.022,0.322,1.4535,0.217,-0.053
35,5.78,0.024,0.337,1.4497,0.227,-0.055
36,5.85,0.025,0.353,1.4458,0.238,-0.051
37,5.92,0.028,0.370,1.4421,0.242,0.012
38,6.00,0.030,0.391,1.4431,0.235,-0.033
39,6.07,0.032,0.407,1.4408,0.234,-0.057
40,6.16,0.035,0.427,1.4360,0.250,-0.026
41,6.23,0.037,0.444,1.4342,0.248,-0.019
42,6.32,0.040,0.465,1.4325,0.253,-0.031
43,6.39,0.043,0.483,1.4303,0.253,0.028
44,6.47,0.046,0.504,1.4327,0.254,0.003
45,6.54,0.048,0.522,1.4328,0.251,0.021
46,6.61,0.051,0.540,1.4343,0.253,0.022
47,6.68,0.053,0.558,1.4359,0.258,0.022
48,6.76,0.056,0.576,1.4375,0.267,0.035
49,6.83,0.058,0.595,1.4400,0.269,0.026
50,6.90,0.061,0.614,1.4418,0.260,0.052
51,6.97,0.063,0.632,1.4455,0.273,0.043
52,7.04,0.065,0.652,1.4486,0.280,0.012
53,7.13,0.068,0.675,1.4496,0.283,0.031
54,7.20,0.071,0.695,1.4518,0.278,0.042
55,7.27,0.073,0.715,1.4549,0.266,-0.039
56,7.34,0.075,0.734,1.4521,0.280,0.075
57,7.41,0.078,0.754,1.4574,0.299,0.031
58,7.48,0.080,0.775,1.4596,0.289,0.016
59,7.56,0.082,0.796,1.4608,0.279,0.049
60,7.63,0.085,0.815,1.4643,0.282,0.031
61,7.70,0.087,0.835,1.4665,0.291,0.027
62,7.78,0.089,0.860,1.4688,0.293,0.074
63,7.85,0.091,0.880,1.4740,0.292,0.009
64,7.94,0.094,0.905,1.4748,0.283,0.059
65,8.01,0.096,0.925,1.4789,0.288,0.047
66,8.10,0.098,0.950,1.4829,0.296,0.036
67,8.17,0.100,0.971,1.4855,0.296,0.059
68,8.25,0.102,0.995,1.4904,0.289,0.034
69,8.32,0.104,1.016,1.4928,0.284,0.051
70,8.39,0.105,1.036,1.4965,0.295,0.062
71,8.46,0.107,1.057,1.5009,0.295,0.042
72,8.55,0.108,1.082,1.5045,0.276,0.046
73,8.62,0.110,1.101,1.5077,0.279,0.052
74,8.71,0.111,1.125,1.5121,0.284,0.033
75,8.78,0.112,1.145,1.5144,0.287,0.058
