,time,x,y,theta,v,omega,x_force,y_force,z_force,x_torque,y_torque,z_torque
0,8.74,0,0.568,0.0112,-0.01,0.026,0.2281,-0.1533,1.4482,-0.0031,-0.0046,-0.0124
1,8.84,0,0.568,0.0139,0.00,-0.028,0.7602,-0.5365,1.6768,0.0000,-0.0015,-0.0046
2,8.94,0,0.568,0.0109,0.01,0.031,0.4561,0.1533,1.3720,-0.0031,0.0000,-0.0093
3,9.03,0,0.567,0.0061,0.00,0.051,0.0000,0.3066,1.9055,0.0031,0.0031,0.0000
4,9.13,0,0.567,0.0048,0.01,0.013,0.6082,0.6131,1.5244,0.0031,0.0015,0.0031
5,9.22,0,0.566,0.0017,0.01,0.032,0.6082,-0.2299,1.7530,0.0015,-0.0031,-0.0155
6,9.32,0,0.565,0.0067,0.01,-0.052,0.9123,0.0766,1.5244,0.0031,-0.0046,-0.0031
7,9.42,0,0.565,0.0034,0.01,0.035,-0.5322,0.7664,0.7622,0.0046,0.0000,-0.0031
8,9.51,0,0.564,0.0034,0.01,-0.000,-0.1520,0.2299,1.5244,0.0015,0.0031,-0.0093
9,9.61,0,0.564,0.0083,0.00,-0.051,0.2281,0.0000,1.3720,0.0000,-0.0015,-0.0031
10,9.70,0,0.564,0.0072,0.00,0.012,0.5322,0.0000,1.4482,0.0015,-0.0015,-0.0062
11,9.80,0,0.564,0.0062,0.00,0.009,0.6842,0.0000,1.4482,0.0015,-0.0046,-0.0139
12,9.90,0,0.564,0.0054,-0.00,0.009,0.7602,-0.6131,1.7530,0.0000,-0.0015,-0.0108
13,9.99,0,0.564,0.0025,0.00,0.030,0.5322,-0.3832,1.5244,0.0000,0.0031,-0.0062
14,10.10,0,0.563,0.0004,0.00,0.018,-0.3041,0.3066,1.5244,0.0031,0.0000,-0.0062
15,10.20,0,0.564,0.0015,-0.00,-0.011,0.8362,0.2299,1.5244,0.0000,-0.0031,-0.0077
16,10.29,0,0.563,0.0071,0.00,-0.058,0.5322,-0.5365,1.2957,-0.0031,-0.0015,-0.0139
17,10.39,0,0.563,0.0065,0.00,0.006,-0.1520,0.4598,1.2195,0.0015,0.0015,-0.0062
18,10.49,0,0.563,0.0109,0.00,-0.046,-0.0760,-0.1533,1.3720,0.0046,0.0000,0.0031
19,10.58,0,0.563,0.0141,-0.00,-0.032,0.6082,0.0766,1.3720,0.0031,0.0015,0.0031
20,10.68,0,0.564,0.0136,-0.00,0.004,0.3041,0.0766,0.9146,0.0031,-0.0015,-0.0031
21,10.79,0,0.563,0.0107,0.00,0.027,0.4561,0.3066,1.3720,0.0076,0.0138,0.0139
22,10.89,0,0.564,0.0084,-0.00,0.023,-0.4561,-0.1533,1.0671,-0.0076,0.0031,-0.0077
23,10.98,0,0.564,0.0090,-0.00,-0.006,0.8362,0.1533,1.4482,0.0229,0.0291,0.0093
24,11.08,0,0.564,0.0144,-0.00,-0.056,0.1520,0.2299,1.0671,0.0886,0.0368,0.0046
25,11.17,0,0.564,0.0181,0.00,-0.038,-0.2281,0.5365,0.7622,0.1589,0.0506,0.0201
26,11.27,0,0.563,0.0112,0.00,0.072,1.0643,1.0730,-0.0762,0.3223,0.0766,0.0448
27,11.37,0,0.563,0.0059,0.00,0.056,0.9883,1.3029,-0.6860,0.4995,0.0736,0.0232
28,11.48,0,0.563,0.0091,0.00,-0.029,-0.0760,1.2262,-2.0579,0.7133,0.0874,0.0031
29,11.57,0,0.563,0.0092,-0.00,-0.001,-0.3041,1.9160,-3.1250,0.9470,0.1165,0.0015
30,11.67,0,0.563,0.0046,0.00,0.048,0.3041,2.6058,-4.6494,1.2204,0.1288,-0.0448
31,11.76,0,0.563,0.0013,0.00,0.035,0.6082,3.2189,-5.3354,1.4510,0.1441,0.0062
32,11.86,0,0.563,-0.0010,0.00,0.024,-0.1520,3.9853,-6.7835,1.8161,0.1732,0.0077
33,11.96,0,0.563,-0.0024,0.00,0.015,0.1520,5.1349,-9.0701,2.2499,0.1487,-0.0819
34,12.05,0,0.563,-0.0055,0.00,0.032,0.2281,5.4414,-10.4421,2.5202,0.1441,-0.0139
35,12.16,0,0.563,-0.0074,-0.00,0.017,0.6082,6.2078,-11.8140,2.6974,0.1180,-0.0139
36,12.26,0,0.564,-0.0038,-0.00,-0.037,0.2281,7.5107,-12.6524,2.8211,0.1027,-0.0788
37,12.36,0,0.563,-0.0056,0.00,0.018,0.3801,8.3538,-13.7195,2.9754,0.0536,-0.0572
38,12.45,0,0.563,-0.0116,0.00,0.062,0.6842,9.5800,-15.2439,3.2366,0.0874,0.0448
39,12.55,0,0.564,-0.0134,-0.00,0.018,0.9123,11.1895,-17.0732,3.5100,0.1226,0.1098
40,12.64,0,0.564,-0.0167,-0.00,0.035,1.7485,11.2661,-18.0640,3.7116,0.0935,0.0417
41,12.74,0,0.564,-0.0165,-0.00,-0.003,0.3801,12.4157,-18.7500,3.9194,0.0536,0.0448
42,12.84,0,0.565,-0.0182,-0.01,0.018,0.3801,12.9522,-19.0549,3.9820,0.0077,0.0155
43,12.93,0,0.566,-0.0192,-0.01,0.011,1.1403,11.8026,-19.1311,4.0202,-0.0490,-0.1391
44,13.03,0,0.567,-0.0197,0.01,0.037,0.6082,10.8829,-19.5884,4.1439,-0.1027,-0.2087
45,13.12,0,0.569,-0.0172,0.01,-0.013,0.3041,13.2587,-19.0549,3.9636,-0.1502,-0.3030
46,13.22,0,0.572,-0.0100,-0.00,-0.061,1.1403,11.9559,-19.2835,4.0751,-0.0935,-0.1964
47,13.32,0,0.576,0.0025,-0.00,-0.117,0.3041,11.8026,-20.2744,4.3058,-0.2100,-0.4066
48,13.41,0,0.579,-0.0032,0.01,0.085,1.5205,12.0325,-20.5793,4.1317,-0.1763,-0.3865
49,13.51,0,0.582,-0.0103,0.01,0.101,0.9123,11.8026,-20.3506,4.2890,-0.2253,-0.4638
50,13.60,0,0.587,0.0023,0.00,-0.114,-0.0760,11.1128,-21.0366,4.4142,-0.2851,-0.6231
51,13.70,0,0.594,0.0159,-0.02,-0.129,-0.1520,13.3354,-20.6555,4.2523,-0.4016,-0.8071
52,13.79,0,0.600,0.0233,-0.01,-0.048,0.7602,11.7259,-20.9604,4.3379,-0.4062,-0.8735
53,13.89,0,0.605,0.0276,0.01,-0.027,0.9123,13.2587,-21.0366,4.3592,-0.4215,-0.9276
54,13.99,0,0.610,0.0266,-0.00,0.034,-0.3041,12.2624,-20.5793,4.2279,-0.5533,-1.2477
55,14.08,0,0.618,0.0037,-0.01,0.257,-0.9883,12.5690,-21.2652,4.4234,-0.5533,-1.3621
56,14.18,0,0.627,-0.0089,-0.02,0.151,-0.6842,12.5690,-21.4939,4.4051,-0.4522,-1.3513
57,14.29,0,0.636,-0.0108,-0.01,0.038,-1.3684,14.4083,-23.0183,4.6831,-0.4706,-1.5754
58,14.39,0,0.644,-0.0218,-0.01,0.138,2.2047,15.0215,-25.6098,5.0252,-0.1993,-1.3002
59,14.48,0,0.652,-0.0188,-0.00,-0.032,-1.0643,14.4083,-26.5244,5.3765,-0.3633,-1.7919
60,14.58,0,0.661,-0.0181,-0.01,0.028,0.2281,16.5543,-27.2104,5.3719,-0.2299,-1.8182
61,14.67,0,0.668,-0.0145,0.02,-0.017,-0.3801,15.4813,-28.2012,5.6453,-0.4706,-2.6623
62,14.77,0,0.675,-0.0040,0.02,-0.073,-1.7485,15.0981,-28.7348,5.8989,-0.7311,-3.4153
63,14.87,0,0.682,-0.0014,0.02,-0.027,-1.7485,15.0215,-27.7439,5.6805,-0.7695,-3.9023
64,14.98,0,0.690,0.0003,0.01,-0.058,-1.9766,14.7149,-27.8963,5.7461,-0.5656,-3.3163
65,15.07,0,0.688,-0.0059,0.08,0.006,0.9123,15.1747,-25.9146,5.2711,0.1931,-1.4069
66,15.17,0,0.674,-0.0031,0.21,-0.109,1.4444,16.0944,-26.4482,5.2879,0.1456,-1.1998
67,15.27,0,0.657,0.0215,0.23,-0.357,1.7485,15.9411,-24.4665,5.0115,0.5074,-0.1979
68,15.36,0,0.646,0.0348,0.18,-0.240,4.1812,16.4010,-24.5427,5.0023,1.2523,1.5430
69,15.46,0,0.639,0.0492,0.14,-0.235,4.1052,15.7112,-24.0091,4.9000,1.5895,2.7907
70,15.55,0,0.638,0.0520,0.10,-0.078,6.6900,16.5543,-23.7043,4.7915,1.3918,2.7087
71,15.67,0,0.641,0.0480,0.05,0.069,0.0000,15.9411,-22.5610,4.5502,0.4936,0.7962
72,15.76,0,0.645,0.0365,0.04,0.115,3.3450,13.0288,-19.7409,4.0920,0.4966,0.7560
73,15.86,0,0.654,0.0367,0.01,-0.027,1.5205,14.7149,-19.5122,3.9820,0.1517,0.6339
74,15.95,0,0.658,0.0386,0.07,-0.039,2.1286,12.1858,-18.4451,3.9606,0.3755,1.0266
75,16.06,0,0.644,0.0686,0.23,-0.305,1.5205,12.2624,-18.7500,3.9056,0.4031,1.0281
76,16.16,0,0.607,0.0445,0.51,0.219,0.8362,13.5653,-17.6067,3.6459,0.5043,1.3142
77,16.26,0,0.573,0.0257,0.47,0.178,4.4093,9.1968,-17.4543,3.8827,0.7480,1.9697
78,16.37,0,0.557,0.0181,0.27,0.066,2.5848,11.1895,-18.9024,3.9255,1.0423,2.4057
79,16.46,0,0.554,0.0199,0.16,0.006,3.7251,13.3354,-18.1402,3.6490,1.0745,2.5201
80,16.56,0,0.559,0.0198,0.07,0.079,3.7251,13.1055,-18.9787,4.0141,1.0132,1.8893
81,16.66,0,0.569,0.0130,0.05,0.129,2.7368,12.1858,-18.6738,3.9132,0.9335,1.4765
82,16.75,0,0.587,0.0057,-0.02,0.146,6.3859,13.4887,-19.5122,3.8888,0.8691,1.0853
83,16.85,0,0.611,0.0144,-0.08,-0.011,3.9532,11.4194,-18.2165,3.7254,0.8906,0.0186
84,16.94,0,0.621,-0.0002,0.09,0.215,1.7485,12.3391,-16.9207,3.5054,0.1625,-0.7947
85,17.06,0,0.606,0.0212,0.31,-0.212,-0.1520,9.8099,-17.9116,4.0522,0.4767,-0.2319
86,17.15,0,0.580,0.0321,0.48,-0.095,4.0292,7.4341,-15.7012,3.7513,1.0009,0.4174
87,17.25,0,0.559,0.0479,0.41,-0.131,3.4970,7.6640,-15.1677,3.6276,0.9442,0.7545
88,17.34,0,0.553,0.0580,0.25,-0.082,4.7134,7.1275,-15.3963,3.4795,0.9227,0.8998
89,17.44,0,0.559,0.0521,0.14,0.109,0.9883,7.6640,-14.8628,3.5069,0.4660,-0.1639
90,17.54,0,0.571,0.0325,0.06,0.219,2.5848,8.0472,-15.0152,3.5069,0.6438,-0.1809
91,17.63,0,0.593,0.0432,-0.04,-0.098,3.0409,8.8136,-13.8720,3.3160,0.5901,-0.0263
92,17.73,0,0.611,0.0323,-0.01,0.165,1.9766,8.6603,-14.1006,3.2794,0.4231,-0.2845
93,17.82,0,0.614,0.0499,0.15,-0.170,1.5965,8.3538,-15.4726,3.4336,0.3342,-0.4746
94,17.92,0,0.603,0.0609,0.29,-0.092,0.3801,8.8903,-15.2439,3.5375,0.1395,-0.8488
95,18.01,0,0.582,0.0081,0.41,0.551,3.4970,10.9595,-14.9390,3.1938,0.3479,-0.3772
96,18.11,0,0.564,-0.0158,0.38,0.221,-3.5731,10.0399,-16.4634,3.5543,-0.2897,-1.4193
97,18.21,0,0.563,-0.0369,0.20,0.218,4.0292,7.3574,-14.0244,3.2671,0.4277,-0.4190
98,18.30,0,0.571,-0.0487,0.11,0.060,-4.7134,10.4231,-15.8537,3.4504,-0.4445,-1.4317
99,18.40,0,0.584,-0.0644,0.05,0.147,3.7251,9.5800,-16.9970,3.6032,0.4338,0.1020
100,18.49,0,0.609,-0.0599,-0.06,-0.145,-0.2281,9.2735,-16.5396,3.6841,0.2974,-0.2613
101,18.59,0,0.633,-0.0566,-0.06,-0.102,1.9766,10.6530,-15.6250,3.3435,0.8231,0.8302
102,18.69,0,0.646,-0.0458,0.07,-0.157,2.2047,10.1931,-14.6341,3.5100,0.9090,1.3915
103,18.78,0,0.639,-0.0140,0.29,-0.344,6.6140,9.0435,-20.4268,3.9973,1.8286,2.5108
104,18.88,0,0.617,0.0180,0.47,-0.329,7.2982,6.3611,-19.1311,4.8068,1.4868,2.0563
105,18.97,0,0.590,0.0338,0.51,-0.069,4.0292,9.6567,-16.0061,3.7269,0.8599,2.3253
106,19.07,0,0.575,0.0650,0.37,-0.318,4.8654,8.5837,-14.6341,3.3680,1.4516,2.2681
107,19.17,0,0.576,0.0761,0.22,0.038,1.7485,6.7443,-13.3384,3.4413,1.2063,2.1135
108,19.26,0,0.586,0.0668,0.10,0.237,4.8654,5.9013,-14.3293,3.4627,1.4562,2.3454
109,19.36,0,0.606,0.0457,0.01,0.415,3.2690,5.8246,-13.8720,3.3954,1.2431,2.4181
110,19.45,0,0.629,0.0457,-0.04,0.218,4.4093,4.2152,-13.4909,3.4107,1.4960,2.4830
111,19.55,0,0.646,0.0281,0.02,0.402,1.3684,6.6677,-15.3201,3.6108,0.9657,1.8182
112,19.64,0,0.652,0.0432,0.14,0.072,6.3859,6.8210,-14.1768,3.3832,1.4071,2.7706
113,19.74,0,0.635,0.0104,0.37,0.608,4.7894,5.0582,-13.2622,3.3053,1.5681,2.6221
114,19.85,0,0.600,-0.0271,0.50,0.601,2.8128,4.1386,-14.0244,3.2137,1.3994,2.4985
115,19.95,0,0.576,-0.0616,0.44,0.637,1.5965,5.8246,-12.6524,2.8181,1.2876,2.0284
116,20.04,0,0.565,-0.0941,0.30,0.641,3.8011,3.7554,-11.5854,2.6776,1.1404,2.1939
117,20.14,0,0.590,0.0332,-0.08,-1.046,1.9766,5.5181,-12.4238,2.6684,1.1327,1.7270
118,20.24,0,0.599,-0.0337,0.08,0.992,3.0409,6.2845,-12.0427,2.6959,1.2416,1.4827
119,20.33,0,0.611,-0.1201,0.05,1.188,2.8889,8.0472,-14.3293,3.1113,1.0500,1.2090
120,20.43,0,0.617,-0.1493,0.12,0.591,2.6608,8.8136,-14.9390,3.2641,1.0469,1.3575
121,20.54,0,0.604,-0.2031,0.31,0.755,3.7251,9.5800,-15.0915,3.1495,1.0515,1.4007
122,20.64,0,0.571,-0.2259,0.54,0.508,1.3684,10.1165,-14.7866,3.1572,0.6484,1.0761
123,20.73,0,0.533,-0.2313,0.60,0.328,1.6725,9.5800,-14.7104,3.0655,0.6085,0.8503
124,20.83,0,0.500,-0.2270,0.53,0.225,3.4970,7.4341,-14.0244,3.0945,0.5380,0.9292
125,20.92,0,0.486,-0.2089,0.33,0.068,6.3859,8.0472,-14.7104,3.2152,0.8047,1.1951
126,21.02,0,0.489,-0.2245,0.15,0.401,2.5087,7.7406,-14.4817,3.6566,0.3326,0.5102
127,21.12,0,0.502,-0.2452,0.04,0.448,5.3216,7.5107,-14.6341,3.5024,0.6591,1.4177
128,21.21,0,0.523,-0.2608,-0.04,0.402,1.3684,8.2771,-14.6341,3.2824,0.6208,1.0374
129,21.31,0,0.543,-0.2585,-0.02,0.222,5.6257,7.2808,-13.7195,3.1450,0.8507,1.6991
130,21.40,0,0.547,-0.2002,0.13,-0.384,1.9766,10.1165,-14.7866,3.1663,0.4614,1.1874
131,21.50,0,0.530,-0.1664,0.35,-0.121,4.4093,8.5071,-15.0152,3.4061,0.9488,1.8707
132,21.59,0,0.499,-0.0849,0.50,-0.641,-1.2164,10.6530,-16.0061,3.4489,0.5809,1.4286
133,21.69,0,0.474,-0.1250,0.43,0.633,5.3976,8.7370,-15.3963,3.2412,1.2646,2.2990
134,21.79,0,0.489,-0.0046,0.03,-0.950,3.2690,6.5144,-15.5488,3.8017,1.0806,2.3222
135,21.88,0,0.512,0.0266,-0.06,-0.042,4.0292,7.9706,-14.5579,3.3038,0.9197,2.5170
136,21.98,0,0.527,-0.0184,0.02,0.755,3.0409,8.9669,-15.6250,3.4306,1.1741,2.6855
137,22.07,0,0.557,0.0062,-0.13,0.027,5.8537,8.3538,-17.3780,3.9499,1.4669,2.9406
138,22.17,0,0.563,-0.0095,0.12,0.454,3.0409,11.1128,-16.3872,3.4413,1.0515,2.8262
139,22.27,0,0.575,-0.0127,0.08,0.355,6.0058,8.2771,-15.6250,3.5512,1.3872,3.3194
140,22.36,0,0.565,-0.0048,0.32,0.277,8.2865,6.6677,-12.6524,3.5024,1.8378,3.5343
141,22.46,0,0.535,0.0063,0.53,0.275,4.7134,6.8976,-14.6341,3.4932,1.3749,2.7242
142,22.55,0,0.505,0.0128,0.53,0.316,5.2456,6.6677,-15.2439,3.6704,1.1450,2.5773
143,22.65,0,0.486,0.0225,0.41,0.282,3.2690,7.5107,-15.2439,3.2748,1.5159,2.7876
144,22.75,0,0.485,0.0569,0.21,0.050,6.6140,4.8283,-16.3872,3.8002,1.7811,3.4756
145,22.84,0,0.497,0.0245,0.07,0.725,4.0292,2.8357,-15.0152,3.9132,1.8532,3.2653
146,22.94,0,0.519,-0.0012,-0.06,0.659,6.9180,2.9890,-14.6341,3.7254,2.3069,3.6348
147,23.03,0,0.543,-0.0230,-0.09,0.646,1.8245,2.6058,-13.8720,3.8369,1.7152,2.5727
148,23.13,0,0.565,-0.0167,-0.08,0.362,4.3333,2.1459,-13.7195,3.5955,1.9957,2.7752
149,23.23,0,0.575,0.0568,0.02,-0.334,0.0000,4.2152,-14.1006,3.5971,1.4700,2.1923
150,23.34,0,0.572,0.1170,0.15,-0.106,-0.8362,3.8320,-15.3963,3.6536,1.5006,2.3531
151,23.43,0,0.563,0.1327,0.23,0.291,0.4561,4.1386,-14.7866,3.5100,1.5880,2.3006
152,23.53,0,0.555,0.1466,0.21,0.279,-3.5731,6.7443,-15.5488,3.7315,1.0132,1.1549
153,23.62,0,0.553,0.1227,0.16,0.687,-1.1403,6.5910,-16.4634,3.6490,1.3105,1.0065
154,23.72,0,0.555,0.1038,0.10,0.615,-1.0643,8.4304,-17.0732,4.0614,1.6631,0.6494
155,23.82,0,0.563,0.0432,0.04,1.047,-1.0643,10.1165,-19.8171,4.6311,1.5451,0.2551
156,23.91,0,0.568,-0.0308,0.07,1.173,-6.6140,12.6456,-18.8262,4.0660,1.2293,-0.3324
157,24.01,0,0.574,-0.0891,0.06,1.011,-5.3216,14.4083,-20.5793,4.4112,1.3351,-1.2446
158,24.10,0,0.578,-0.1154,0.09,0.636,-5.5496,16.9375,-20.1220,4.1653,1.0086,-1.8166
159,24.20,0,0.569,-0.1003,0.23,0.174,-7.5262,19.8498,-21.9512,4.4646,0.7771,-2.0563
160,24.30,0,0.537,-0.0727,0.50,-0.021,-5.0935,16.5543,-22.2561,4.4494,1.1987,-1.5646
161,24.39,0,0.496,0.0118,0.60,-0.634,-6.0058,14.5616,-20.7317,4.2676,1.1266,-1.3544
162,24.49,0,0.459,-0.0098,0.56,0.443,-3.1929,14.2551,-19.1311,4.1149,1.0147,-1.1395
163,24.58,0,0.452,-0.0190,0.26,0.292,-5.3216,15.4813,-20.5793,4.3547,0.7833,-1.8105
164,24.68,0,0.482,-0.0108,-0.12,0.103,-3.8011,16.0178,-20.3506,4.2936,0.6944,-1.8599
165,24.78,0,0.493,-0.0538,0.07,0.592,-1.7485,16.0178,-20.5793,4.2279,0.8492,-1.8599
166,24.87,0,0.508,-0.0638,0.04,0.215,-9.5788,16.3243,-24.8476,4.7258,-0.1410,-3.5080
167,24.97,0,0.531,-0.0755,-0.06,0.142,-5.3216,17.5506,-19.6646,3.9117,0.4261,-2.6438
168,25.06,0,0.555,-0.0831,-0.04,0.057,-6.3099,15.9411,-19.5884,3.8980,0.4552,-3.0257
169,25.16,0,0.577,-0.0862,-0.01,-0.015,-2.0526,12.7223,-19.0549,3.9942,0.8170,-1.9434
170,25.26,0,0.579,-0.0956,0.20,0.047,-5.8537,15.2514,-17.5305,3.7605,0.5901,-2.0300
171,25.35,0,0.565,-0.0917,0.37,-0.098,-0.9883,13.5653,-17.0732,3.6734,1.4209,-0.4994
172,25.45,0,0.548,-0.1056,0.42,0.037,-2.7368,9.3501,-17.3780,3.8934,1.1358,-0.5071
173,25.54,0,0.547,-0.0819,0.24,-0.309,-1.2164,14.0251,-18.6738,4.1026,1.4592,-0.0758
174,25.64,0,0.559,-0.0929,0.10,0.066,-2.8889,13.7952,-18.3689,3.8705,1.4393,-0.1129
