,time,x,y,theta,v,omega
0,0.07,0.000,0.000,1.5708,-0.238,-0.583
1,0.15,-0.000,-0.019,1.5239,0.000,-0.000
2,0.22,0.000,-0.019,1.5239,-0.000,0.000
3,0.29,0.000,-0.019,1.5239,0.000,0.000
4,0.35,0.000,-0.019,1.5239,0.000,-0.000
5,0.42,0.000,-0.019,1.5239,-0.000,0.000
6,0.49,0.000,-0.019,1.5239,0.000,-0.001
7,0.55,0.000,-0.019,1.5239,-0.000,0.000
8,0.64,-0.000,-0.019,1.5239,0.000,0.000
9,0.70,0.000,-0.019,1.5239,0.000,-0.001
10,0.77,0.000,-0.019,1.5238,0.000,0.000
11,0.84,0.000,-0.019,1.5239,-0.000,0.000
12,0.90,0.000,-0.019,1.5239,-0.000,0.001
13,0.97,-0.000,-0.019,1.5239,0.000,-0.001
14,1.04,0.000,-0.019,1.5239,0.000,0.000
15,1.12,0.000,-0.019,1.5239,-0.000,0.001
16,1.19,-0.000,-0.019,1.5239,0.000,-0.001
17,1.25,0.000,-0.019,1.5239,0.000,-0.000
18,1.32,0.000,-0.019,1.5238,0.000,0.000
19,1.39,0.000,-0.019,1.5239,-0.000,0.000
20,1.46,0.000,-0.019,1.5239,0.000,-0.000
21,1.52,0.000,-0.019,1.5238,-0.000,-0.000
22,1.60,0.000,-0.019,1.5238,0.000,0.001
23,1.67,0.000,-0.019,1.5239,0.000,0.000
24,1.74,0.000,-0.019,1.5239,0.000,-0.000
25,1.81,0.000,-0.019,1.5238,-0.000,-0.000
26,1.87,0.000,-0.019,1.5238,-0.000,0.000
27,1.94,0.000,-0.019,1.5238,0.000,0.000
28,2.01,0.000,-0.019,1.5239,-0.000,0.000
29,2.08,-0.000,-0.019,1.5239,0.000,-0.000
30,2.14,0.000,-0.019,1.5238,0.000,-0.000
31,2.21,0.000,-0.019,1.5238,-0.000,0.000
32,2.29,-0.000,-0.019,1.5238,0.000,0.000
33,2.36,-0.000,-0.019,1.5238,0.000,0.000
34,2.43,-0.000,-0.019,1.5239,0.000,0.000
35,2.49,-0.000,-0.019,1.5239,0.000,-0.000
36,2.56,-0.000,-0.019,1.5238,0.000,0.000
37,2.63,0.000,-0.019,1.5238,-0.000,-0.000
38,2.70,-0.000,-0.019,1.5238,-0.000,0.001
39,2.76,-0.000,-0.019,1.5239,-0.000,0.000
40,2.83,-0.000,-0.019,1.5239,0.000,-0.001
41,2.90,-0.000,-0.019,1.5238,0.000,0.000
42,2.98,0.000,-0.019,1.5238,-0.000,-0.000
43,3.05,0.000,-0.019,1.5238,0.000,0.000
44,3.11,0.000,-0.019,1.5239,-0.000,0.000
45,3.18,0.000,-0.019,1.5239,-0.000,0.000
46,3.25,-0.000,-0.019,1.5239,0.000,-0.000
47,3.31,0.000,-0.019,1.5238,-0.000,0.001
48,3.38,-0.000,-0.019,1.5239,0.000,-0.000
49,3.46,0.000,-0.019,1.5238,-0.000,0.000
50,3.53,0.000,-0.019,1.5239,0.000,-0.000
51,3.60,0.000,-0.019,1.5238,0.000,0.000
52,3.66,0.000,-0.019,1.5238,-0.000,0.000
53,3.73,0.000,-0.019,1.5238,0.000,0.000
54,3.80,0.000,-0.019,1.5238,0.000,-0.000
55,3.87,0.000,-0.019,1.5238,-0.000,0.001
56,3.93,-0.000,-0.019,1.5239,0.000,-0.000
57,4.00,0.000,-0.019,1.5238,0.000,0.000
58,4.07,0.000,-0.019,1.5239,-0.000,-0.000
59,4.15,-0.000,-0.019,1.5239,0.000,-0.000
60,4.22,0.000,-0.019,1.5238,-0.000,0.000
61,4.29,0.000,-0.019,1.5239,-0.000,-0.000
62,4.35,0.000,-0.019,1.5238,0.000,0.000
63,4.42,0.000,-0.019,1.5238,-0.000,0.000
64,4.49,-0.000,-0.019,1.5239,0.000,-0.000
65,4.56,0.000,-0.019,1.5238,-0.000,0.001
66,4.62,0.000,-0.019,1.5239,0.000,-0.000
67,4.69,0.000,-0.019,1.5238,0.000,0.000
68,4.76,0.000,-0.019,1.5239,-0.000,-0.001
69,4.84,-0.000,-0.019,1.5238,0.000,0.000
70,4.91,0.000,-0.019,1.5238,0.000,0.000
71,4.97,0.000,-0.019,1.5238,-0.000,-0.000
72,5.04,0.000,-0.019,1.5238,0.000,0.000
73,5.11,0.000,-0.019,1.5238,0.000,0.000
74,5.18,0.000,-0.019,1.5238,0.000,0.000
75,5.24,0.000,-0.019,1.5238,0.000,0.000
76,5.31,0.000,-0.019,1.5238,-0.000,0.000
77,5.38,-0.000,-0.019,1.5238,0.000,-0.000
78,5.45,0.000,-0.019,1.5238,-0.000,0.000
79,5.52,-0.000,-0.019,1.5238,0.000,0.000
80,5.58,-0.000,-0.019,1.5238,0.000,0.000
81,5.65,0.000,-0.019,1.5238,-0.000,-0.000
82,5.72,0.000,-0.019,1.5238,0.000,0.000
83,5.79,0.000,-0.019,1.5238,-0.000,0.000
84,5.85,-0.000,-0.019,1.5238,0.000,0.000
85,5.92,-0.000,-0.019,1.5238,0.000,0.000
86,5.99,0.000,-0.019,1.5238,-0.000,-0.000
87,6.06,-0.000,-0.019,1.5238,0.000,0.000
88,6.12,-0.000,-0.019,1.5238,-0.000,-0.000
89,6.19,-0.000,-0.019,1.5238,0.000,0.001
90,6.26,-0.000,-0.019,1.5239,0.000,-0.001
91,6.33,-0.000,-0.019,1.5238,0.000,0.000
92,6.39,-0.000,-0.019,1.5239,0.000,0.000
93,6.46,-0.000,-0.019,1.5239,0.000,-0.000
94,6.54,-0.000,-0.019,1.5238,-0.000,0.000
95,6.61,-0.000,-0.019,1.5239,0.000,-0.000
96,6.68,-0.000,-0.019,1.5238,0.000,-0.000
97,6.74,0.000,-0.019,1.5238,0.000,0.000
98,6.82,0.000,-0.019,1.5238,0.000,0.000
99,6.89,0.000,-0.019,1.5238,-0.000,0.001
100,6.96,-0.000,-0.019,1.5239,0.000,-0.001
101,7.02,0.000,-0.019,1.5238,-0.000,0.000
102,7.09,-0.000,-0.019,1.5238,0.000,-0.000
103,7.16,-0.000,-0.019,1.5238,-0.000,-0.000
104,7.23,-0.000,-0.019,1.5238,0.000,0.000
105,7.31,0.000,-0.019,1.5238,-0.000,0.001
106,7.37,0.000,-0.019,1.5238,0.000,-0.000
107,7.44,0.000,-0.019,1.5238,0.000,0.000
108,7.51,0.000,-0.019,1.5238,-0.000,-0.000
109,7.59,0.000,-0.019,1.5238,-0.000,0.000
110,7.65,0.000,-0.019,1.5238,-0.000,0.000
111,7.72,-0.000,-0.019,1.5238,0.000,-0.001
112,7.79,0.000,-0.019,1.5238,0.000,0.000
113,7.87,0.000,-0.019,1.5238,-0.000,0.001
114,7.94,-0.000,-0.019,1.5238,0.000,-0.001
115,8.00,-0.000,-0.019,1.5238,0.000,0.001
116,8.07,0.000,-0.019,1.5238,-0.000,0.000
117,8.14,-0.000,-0.019,1.5238,0.000,0.000
118,8.21,-0.000,-0.019,1.5238,0.000,0.000
119,8.27,-0.000,-0.019,1.5238,0.000,-0.000
120,8.35,0.000,-0.019,1.5238,-0.000,0.000
121,8.42,0.000,-0.019,1.5238,-0.000,0.000
122,8.49,0.000,-0.019,1.5238,0.000,-0.000
123,8.56,0.000,-0.019,1.5238,-0.000,0.000
124,8.62,0.000,-0.019,1.5238,0.000,0.000
125,8.69,0.000,-0.019,1.5238,-0.000,-0.000
126,8.76,0.000,-0.019,1.5238,0.000,0.000
127,8.84,0.000,-0.019,1.5238,-0.000,-0.000
