,time,x,y,theta,v,omega,x_force,y_force,z_force,x_torque,y_torque,z_torque
0,3.28,0,0.627,0.0664,0.00,0.000,0.6082,-0.1533,0.6860,0.0687,-0.0245,-0.0201
1,3.38,0,0.627,0.0704,-0.00,-0.041,-0.3801,-0.0766,1.2195,0.0535,-0.0445,-0.0031
2,3.47,0,0.628,0.0647,-0.00,0.060,0.3041,-0.0766,-0.0762,0.1680,-0.1012,0.0309
3,3.58,0,0.628,0.0668,-0.00,-0.019,-1.1403,1.0730,0.0762,0.3788,-0.0644,0.0170
4,3.68,0,0.629,0.0663,-0.01,0.005,-0.1520,2.5291,-2.2866,0.6996,0.0215,0.0588
5,3.78,0,0.630,0.0659,-0.01,0.004,-0.1520,1.3029,-4.1159,1.1364,0.1119,0.0387
6,3.87,0,0.630,0.0612,-0.01,0.047,-0.6082,2.5291,-6.0976,1.6679,0.1962,0.1871
7,3.97,0,0.630,0.0624,-0.00,-0.013,-0.1520,2.6824,-7.2409,1.9933,0.2284,0.1964
8,4.06,0,0.631,0.0676,-0.00,-0.053,0.1520,3.7554,-7.8506,2.2438,0.3020,0.2118
9,4.16,0,0.631,0.0670,-0.01,0.005,0.4561,2.6058,-8.4604,2.3431,0.3280,0.2180
10,4.27,0,0.632,0.0685,-0.01,-0.013,0.0000,2.2992,-9.4512,2.4133,0.3709,0.2180
11,4.37,0,0.632,0.0717,-0.01,-0.033,-0.1520,3.0656,-9.5274,2.4683,0.3679,0.1778
12,4.46,0,0.633,0.0741,-0.01,-0.025,1.0643,2.8357,-9.6799,2.5080,0.3909,0.1933
13,4.56,0,0.633,0.0754,-0.00,-0.012,0.3041,3.2189,-9.3750,2.5691,0.3863,0.1886
14,4.66,0,0.633,0.0762,-0.00,-0.004,1.0643,2.5291,-10.8232,2.7096,0.4231,0.1964
15,4.75,0,0.633,0.0727,-0.01,0.040,0.0760,3.2955,-10.8232,2.8104,0.3709,0.1716
16,4.85,0,0.633,0.0719,-0.00,0.011,-0.1520,2.6058,-12.3476,2.9785,0.3127,0.0989
17,4.96,0,0.633,0.0693,-0.00,0.026,0.6082,1.3795,-13.4146,3.0365,0.3004,0.0541
18,5.05,0,0.633,0.0691,-0.00,0.005,0.1520,2.5291,-11.5091,3.0503,0.2882,0.1314
19,5.15,0,0.633,0.0690,-0.01,0.004,0.0000,3.5254,-12.2713,3.0747,0.3418,0.2396
20,5.25,0,0.633,0.0711,0.00,-0.020,0.6082,2.9123,-13.1098,3.1052,0.4062,0.2999
21,5.34,0,0.633,0.0685,0.00,0.028,0.9123,3.1422,-13.7195,3.1373,0.4215,0.3108
22,5.44,0,0.632,0.0687,-0.00,0.001,1.2924,2.8357,-13.7957,3.1297,0.4093,0.2814
23,5.53,0,0.632,0.0668,0.01,0.022,-0.3041,5.0582,-10.3659,3.1679,0.4001,0.3247
24,5.63,0,0.632,0.0655,-0.00,0.015,-0.1520,6.4378,-10.5945,3.1740,0.4445,0.3680
25,5.73,0,0.631,0.0649,0.00,0.006,2.3567,3.6021,-14.2530,3.2885,0.4951,0.3015
26,5.82,0,0.632,0.0643,-0.00,0.007,0.0760,3.4488,-14.1006,3.3664,0.5518,0.3015
27,5.92,0,0.631,0.0660,0.00,-0.018,0.6082,4.5984,-14.4817,3.5283,0.6361,0.3185
28,6.01,0,0.631,0.0674,-0.00,-0.014,1.5965,4.9050,-14.4055,3.6123,0.7112,0.2938
29,6.11,0,0.632,0.0682,-0.00,-0.008,0.5322,6.7443,-13.3384,3.7727,0.7787,0.2427
30,6.21,0,0.632,0.0690,-0.00,-0.008,1.6725,3.4488,-17.1494,3.9209,0.9044,0.1778
31,6.30,0,0.632,0.0696,0.00,-0.004,1.5205,4.2152,-17.0732,3.9942,0.9687,0.2829
32,6.40,0,0.632,0.0670,-0.00,0.027,2.3567,5.7480,-17.8354,4.1103,1.1189,0.4762
33,6.49,0,0.633,0.0701,-0.00,-0.030,2.8128,7.0509,-17.1494,4.2386,1.2094,0.5550
34,6.59,0,0.633,0.0694,-0.00,0.008,2.6608,6.2078,-17.6829,4.2951,1.1757,0.4205
35,6.69,0,0.633,0.0712,-0.01,-0.015,2.2047,5.3648,-18.3689,4.2004,1.1757,0.4051
36,6.78,0,0.632,0.0603,0.01,0.114,2.1286,5.2882,-16.5396,3.7788,1.1205,0.3077
37,6.88,0,0.621,0.0201,0.11,0.422,2.8889,4.4451,-16.8445,3.4352,1.0408,0.3912
38,6.97,0,0.600,-0.0255,0.22,0.476,1.2924,5.9779,-13.4146,3.0594,0.8553,0.2675
39,7.07,0,0.577,-0.0393,0.24,0.140,1.0643,5.7480,-10.6707,2.7341,0.6790,0.0850
40,7.17,0,0.551,-0.0141,0.28,-0.269,0.0760,5.3648,-10.9756,2.4973,0.5809,-0.2211
41,7.26,0,0.531,0.0126,0.24,-0.282,0.0000,6.7443,-10.5183,2.2697,0.4200,-0.5009
42,7.36,0,0.520,0.0202,0.16,-0.084,-0.8362,4.9050,-10.2896,2.1812,0.3081,-0.5751
43,7.45,0,0.513,0.0179,0.13,0.019,0.7602,2.3758,-11.5854,2.1216,0.2284,-0.5133
44,7.55,0,0.510,0.0144,0.09,0.033,-1.2924,1.6861,-7.5457,2.4454,0.1165,-0.6524
45,7.64,0,0.511,0.0103,0.07,0.038,-0.4561,-0.6131,-10.5945,2.4133,0.1839,-0.7328
46,7.76,0,0.520,0.0001,0.01,0.085,-1.0643,6.4378,-8.6128,1.9413,0.0797,-0.6231
47,7.85,0,0.532,-0.0054,-0.03,0.054,0.6842,2.9890,-8.9177,2.3018,0.1502,-0.3463
48,7.95,0,0.545,-0.0187,-0.06,0.128,-0.4561,4.0619,-7.0122,2.1399,0.1962,-0.2319
49,8.04,0,0.558,-0.0086,-0.06,-0.109,-0.6082,2.7590,-8.1555,2.1338,0.1625,-0.2984
