,time,x,y,theta,v,omega
0,0.16,0.000,0.000,1.5708,-0.006,-0.000
1,0.25,-0.000,-0.000,1.5708,-0.024,-0.000
2,0.33,-0.000,-0.002,1.5707,-0.013,0.002
3,0.41,-0.000,-0.004,1.5709,0.004,0.002
4,0.51,-0.000,-0.003,1.5711,0.017,0.002
5,0.59,-0.000,-0.002,1.5713,0.029,0.004
6,0.67,-0.000,0.001,1.5716,0.040,-0.003
7,0.75,-0.000,0.004,1.5714,0.050,-0.003
8,0.83,-0.000,0.008,1.5711,0.065,0.007
9,0.93,-0.000,0.014,1.5718,0.078,0.004
10,1.01,-0.000,0.020,1.5722,0.089,-0.001
11,1.09,-0.000,0.028,1.5721,0.088,0.005
12,1.17,-0.000,0.035,1.5725,0.082,0.005
13,1.26,-0.000,0.042,1.5729,0.071,0.001
14,1.35,-0.000,0.048,1.5730,0.051,-0.005
15,1.44,-0.000,0.053,1.5726,0.026,-0.002
16,1.52,-0.000,0.055,1.5724,0.010,-0.004
17,1.60,-0.000,0.056,1.5721,0.001,-0.007
18,1.68,-0.000,0.056,1.5715,-0.007,-0.005
19,1.76,-0.000,0.055,1.5711,-0.020,-0.006
20,1.85,-0.000,0.054,1.5706,-0.029,-0.003
21,1.93,-0.000,0.051,1.5704,-0.033,-0.007
22,2.01,-0.000,0.048,1.5698,-0.035,-0.006
23,2.09,-0.000,0.046,1.5693,-0.040,-0.004
24,2.17,-0.000,0.042,1.5689,-0.038,-0.009
25,2.26,-0.000,0.039,1.5682,-0.036,-0.005
26,2.35,-0.000,0.036,1.5677,-0.034,-0.003
27,2.43,-0.000,0.033,1.5675,-0.031,-0.005
28,2.52,-0.000,0.030,1.5671,-0.026,-0.005
29,2.60,-0.000,0.028,1.5667,-0.020,-0.005
30,2.68,-0.000,0.027,1.5662,-0.019,-0.003
31,2.76,-0.000,0.025,1.5660,-0.015,-0.002
32,2.84,-0.000,0.024,1.5658,-0.010,-0.005
33,2.93,-0.000,0.023,1.5654,-0.008,0.000
34,3.03,-0.000,0.022,1.5654,-0.003,0.000
35,3.11,-0.000,0.022,1.5654,-0.002,-0.000
36,3.19,-0.000,0.022,1.5654,-0.001,0.001
37,3.27,-0.000,0.022,1.5654,0.000,-0.000
38,3.35,-0.000,0.022,1.5654,-0.000,0.001
39,3.44,-0.000,0.022,1.5655,0.000,0.000
40,3.52,-0.000,0.022,1.5655,0.000,0.000
41,3.60,-0.000,0.022,1.5655,0.000,0.000
42,3.69,-0.000,0.022,1.5655,-0.000,-0.000
43,3.78,-0.000,0.022,1.5655,-0.000,0.001
44,3.86,-0.000,0.022,1.5655,-0.001,-0.002
45,3.94,-0.000,0.022,1.5654,-0.001,-0.000
46,4.03,-0.000,0.022,1.5653,-0.001,0.001
47,4.11,-0.000,0.021,1.5654,-0.002,-0.001
48,4.19,-0.000,0.021,1.5654,-0.001,0.004
49,4.27,-0.000,0.021,1.5657,-0.002,0.001
50,4.36,-0.000,0.021,1.5658,-0.003,-0.001
51,4.46,-0.000,0.021,1.5657,-0.002,0.001
52,4.54,-0.000,0.021,1.5658,-0.003,0.002
53,4.62,-0.000,0.020,1.5660,-0.003,0.004
54,4.71,-0.000,0.020,1.5663,-0.003,0.003
55,4.79,-0.000,0.020,1.5665,-0.003,0.003
56,4.87,-0.000,0.020,1.5668,-0.003,0.003
57,4.95,-0.000,0.019,1.5671,-0.003,0.002
