	time	x	y	theta	v	omega
0	2.38	0	0.565	0.0389	0.007	0.011
1	2.47	0	0.565	0.0396	0.001	0.008
2	2.56	0	0.564	0.0380	-0.004	-0.018
3	2.65	0	0.564	0.0377	-0.006	-0.004
4	2.74	0	0.563	0.0379	-0.010	0.003
5	2.82	0	0.563	0.0392	-0.003	0.015
6	2.93	0	0.562	0.0396	-0.006	0.004
7	3.02	0	0.562	0.0380	-0.006	-0.018
8	3.11	0	0.561	0.0325	-0.005	-0.060
9	3.20	0	0.561	0.0349	-0.004	0.027
10	3.30	0	0.560	0.0367	-0.003	0.017
11	3.39	0	0.560	0.0361	-0.002	-0.007
12	3.76	0	0.560	0.0357	-0.000	-0.001
13	3.85	0	0.560	0.0354	-0.001	-0.003
14	3.94	0	0.560	0.0368	-0.003	0.016
15	4.03	0	0.560	0.0398	-0.002	0.033
16	4.12	0	0.559	0.0380	-0.001	-0.020
17	4.21	0	0.559	0.0386	-0.001	0.008
18	4.29	0	0.560	0.0328	0.003	-0.065
19	4.39	0	0.560	0.0367	-0.001	0.043
20	4.47	0	0.559	0.0353	-0.003	-0.016
21	4.56	0	0.559	0.0386	0.001	0.037
22	4.65	0	0.560	0.0414	0.007	0.031
23	4.74	0	0.560	0.0412	-0.001	-0.002
24	4.83	0	0.559	0.0384	-0.004	-0.031
25	4.92	0	0.559	0.0373	-0.003	-0.012
26	5.01	0	0.559	0.0359	0.001	-0.016
27	5.10	0	0.560	0.0306	0.004	-0.058
28	5.19	0	0.560	0.0350	-0.000	0.048
29	5.28	0	0.560	0.0366	-0.000	0.017
30	5.37	0	0.560	0.0378	-0.000	0.013
31	5.46	0	0.559	0.0361	-0.003	-0.019
32	5.55	0	0.559	0.0349	-0.002	-0.014
33	5.64	0	0.560	0.0363	0.004	0.015
34	5.73	0	0.560	0.0373	0.000	0.011
35	5.82	0	0.560	0.0367	0.003	-0.007
36	5.91	0	0.560	0.0362	0.002	-0.005
37	6.00	0	0.560	0.0353	-0.001	-0.009
38	6.09	0	0.560	0.0352	0.002	-0.001
39	6.18	0	0.560	0.0333	-0.005	-0.021
40	6.27	0	0.560	0.0373	-0.001	0.044
41	6.36	0	0.560	0.0381	-0.000	0.010
42	6.45	0	0.560	0.0369	-0.000	-0.014
43	6.54	0	0.560	0.0349	-0.000	-0.021
44	6.63	0	0.560	0.0364	-0.000	0.016
45	6.72	0	0.559	0.0338	-0.006	-0.029
46	6.81	0	0.559	0.0336	0.002	-0.002
47	6.90	0	0.559	0.0336	0.001	-0.000
48	6.99	0	0.560	0.0364	0.007	0.031
49	7.08	0	0.560	0.0372	-0.004	0.009
50	7.17	0	0.560	0.0326	0.006	-0.051
51	7.26	0	0.560	0.0333	0.001	0.008
52	7.35	0	0.560	0.0354	-0.002	0.023
53	7.44	0	0.560	0.0313	0.004	-0.045
54	7.53	0	0.560	0.0325	-0.000	0.014
55	7.62	0	0.560	0.0322	-0.003	-0.004
56	7.71	0	0.560	0.0328	-0.002	0.007
57	7.80	0	0.560	0.0339	0.001	0.011
58	7.89	0	0.560	0.0347	0.001	0.009
59	7.98	0	0.560	0.0347	-0.002	0.001
60	8.09	0	0.560	0.0348	-0.002	0.000
61	8.18	0	0.560	0.0356	0.005	0.009
62	8.26	0	0.560	0.0353	-0.002	-0.003
63	8.36	0	0.560	0.0360	0.004	0.007
64	8.46	0	0.560	0.0379	0.000	0.018
65	8.55	0	0.560	0.0392	-0.000	0.015
66	8.64	0	0.560	0.0382	-0.000	-0.011
67	8.73	0	0.560	0.0374	-0.000	-0.009
68	8.82	0	0.560	0.0362	-0.003	-0.013
69	8.91	0	0.560	0.0358	0.001	-0.004
70	9.00	0	0.560	0.0351	-0.002	-0.008
71	9.09	0	0.560	0.0345	-0.002	-0.006
72	9.18	0	0.560	0.0350	0.005	0.006
73	9.27	0	0.560	0.0351	0.001	0.001
74	9.35	0	0.560	0.0365	-0.003	0.016
75	9.44	0	0.560	0.0383	0.001	0.020
76	9.53	0	0.560	0.0333	0.004	-0.057
77	9.62	0	0.560	0.0338	-0.000	0.005
78	9.71	0	0.560	0.0361	-0.000	0.026
79	9.80	0	0.560	0.0359	-0.000	-0.002
80	9.89	0	0.560	0.0357	-0.000	-0.002
81	9.97	0	0.561	0.0360	0.003	0.003
82	10.06	0	0.560	0.0386	-0.001	0.029
83	10.15	0	0.560	0.0372	-0.004	-0.016
84	10.24	0	0.560	0.0362	-0.003	-0.011
85	10.32	0	0.560	0.0354	-0.002	-0.010
86	10.43	0	0.560	0.0353	0.001	-0.001
87	10.52	0	0.560	0.0371	0.001	0.020
88	10.60	0	0.560	0.0365	0.001	-0.006
89	10.69	0	0.560	0.0380	0.001	0.016
90	10.78	0	0.560	0.0372	0.001	-0.009
91	10.87	0	0.560	0.0388	0.003	0.018
92	10.96	0	0.560	0.0377	-0.004	-0.013
93	11.04	0	0.560	0.0368	0.003	-0.010
94	11.13	0	0.561	0.0363	0.005	-0.006
95	11.22	0	0.561	0.0343	0.004	-0.022
96	11.31	0	0.561	0.0346	-0.000	0.003
97	11.41	0	0.561	0.0296	-0.006	-0.049
98	11.50	0	0.555	0.0218	-0.070	-0.089
99	11.59	0	0.541	0.0060	-0.148	-0.180
100	11.68	0	0.525	0.0172	-0.187	0.127
101	11.77	0	0.505	0.0320	-0.218	0.165
102	11.85	0	0.488	0.0424	-0.197	0.120
103	11.94	0	0.477	0.0479	-0.127	0.063
104	12.03	0	0.471	0.0473	-0.068	-0.006
105	12.13	0	0.469	0.0490	-0.021	0.016
106	12.22	0	0.469	0.0456	0.001	-0.038
107	12.31	0	0.471	0.0389	0.020	-0.075
108	12.40	0	0.475	0.0256	0.045	-0.149
109	12.49	0	0.482	0.0093	0.078	-0.181
110	12.57	0	0.491	-0.0139	0.105	-0.262
111	12.68	0	0.503	-0.0427	0.118	-0.286
112	12.76	0	0.509	-0.0572	0.066	-0.163
113	12.85	0	0.498	-0.0345	-0.121	0.258
114	12.94	0	0.471	-0.0487	-0.304	-0.160
115	13.03	0	0.448	-0.0565	-0.263	-0.087
116	13.12	0	0.437	-0.0520	-0.120	0.050
117	13.21	0	0.443	-0.0356	0.060	0.180
118	13.30	0	0.453	-0.0292	0.113	0.073
119	13.39	0	0.468	-0.0252	0.176	0.046
120	13.49	0	0.486	-0.0238	0.178	0.014
121	13.58	0	0.506	-0.0036	0.219	0.229
122	13.67	0	0.517	0.0080	0.129	0.129
123	13.77	0	0.503	0.0270	-0.136	0.183
124	13.86	0	0.475	0.0490	-0.313	0.248
125	13.95	0	0.447	0.0850	-0.317	0.399
126	14.04	0	0.431	0.1126	-0.174	0.310
127	14.13	0	0.427	0.1134	-0.053	0.010
128	14.22	0	0.434	0.0962	0.087	-0.193
129	14.31	0	0.451	0.0966	0.183	0.003
130	14.40	0	0.473	0.0980	0.242	0.016
131	14.49	0	0.495	0.0830	0.246	-0.169
132	14.57	0	0.516	0.0544	0.237	-0.324
133	14.68	0	0.523	0.0523	0.069	-0.021
134	14.77	0	0.510	0.0731	-0.138	0.230
135	14.86	0	0.479	0.0621	-0.348	-0.123
136	14.95	0	0.449	0.0685	-0.331	0.071
137	15.04	0	0.435	0.0657	-0.160	-0.031
138	15.13	0	0.436	0.0683	0.010	0.029
139	15.21	0	0.448	0.0723	0.134	0.044
140	15.32	0	0.467	0.1272	0.184	0.524
141	15.41	0	0.490	0.1630	0.257	0.401
142	15.50	0	0.505	0.1717	0.169	0.097
143	15.59	0	0.502	0.1744	-0.033	0.030
144	15.68	0	0.491	0.1643	-0.125	-0.110
145	15.77	0	0.474	0.1669	-0.192	0.028
146	15.86	0	0.452	0.1761	-0.239	0.104
147	15.95	0	0.441	0.1792	-0.128	0.034
148	16.04	0	0.450	0.1700	0.105	-0.105
149	16.13	0	0.465	0.1710	0.178	0.012
150	16.21	0	0.488	0.1598	0.251	-0.126
151	16.30	0	0.517	0.1409	0.329	-0.213
152	16.39	0	0.545	0.1260	0.312	-0.167
153	16.48	0	0.571	0.1115	0.296	-0.160
154	16.57	0	0.586	0.0483	0.165	-0.704
155	16.66	0	0.571	0.0630	-0.175	0.166
156	16.75	0	0.529	0.0635	-0.460	0.006
157	16.84	0	0.482	0.0570	-0.535	-0.072
158	16.94	0	0.450	0.0424	-0.307	-0.144
159	17.03	0	0.441	0.0525	-0.106	0.112
160	17.12	0	0.445	0.0769	0.046	0.273
161	17.21	0	0.464	0.1033	0.217	0.301
162	17.30	0	0.489	0.1239	0.293	0.238
163	17.38	0	0.518	0.1398	0.331	0.183
164	17.48	0	0.548	0.1433	0.327	0.038
165	17.57	0	0.566	0.1250	0.202	-0.200
166	17.65	0	0.563	0.1226	-0.045	-0.028
167	17.74	0	0.540	0.1327	-0.259	0.113
168	17.83	0	0.490	0.1048	-0.575	-0.323
169	17.92	0	0.450	0.1004	-0.453	-0.049
170	18.02	0	0.435	0.0964	-0.144	-0.039
171	18.11	0	0.430	0.0920	-0.052	-0.050
172	18.20	0	0.442	0.0703	0.137	-0.247
173	18.29	0	0.455	0.0749	0.143	0.053
174	18.37	0	0.475	0.0369	0.228	-0.435
175	18.46	0	0.497	-0.0004	0.255	-0.426
176	18.55	0	0.516	0.0123	0.217	0.146
177	18.64	0	0.517	0.0846	0.007	0.806
178	18.73	0	0.499	0.1160	-0.199	0.347
179	18.82	0	0.467	0.1153	-0.349	-0.008
180	18.91	0	0.433	0.1054	-0.382	-0.111
181	19.00	0	0.425	0.1235	-0.097	0.206
182	19.08	0	0.428	0.1355	0.040	0.138
183	19.17	0	0.441	0.1441	0.149	0.098
184	19.26	0	0.462	0.1578	0.236	0.158
185	19.35	0	0.489	0.1504	0.306	-0.083
186	19.44	0	0.519	0.1623	0.340	0.134
187	19.52	0	0.550	0.1600	0.352	-0.026
188	19.61	0	0.572	0.1304	0.239	-0.329
189	19.70	0	0.564	0.0787	-0.094	-0.592
190	19.79	0	0.541	0.0707	-0.254	-0.088
191	19.88	0	0.526	0.0859	-0.167	0.174
192	19.97	0	0.525	0.0945	-0.011	0.095
193	20.06	0	0.531	0.1019	0.067	0.083
194	20.16	0	0.543	0.0830	0.109	-0.180
195	20.25	0	0.553	0.1040	0.116	0.234
196	20.34	0	0.552	0.1188	-0.015	0.167
197	20.43	0	0.556	0.1120	0.047	-0.078
198	20.52	0	0.568	0.0980	0.134	-0.157
199	20.60	0	0.585	0.0856	0.204	-0.144
200	20.69	0	0.606	0.0648	0.233	-0.235
201	20.78	0	0.630	0.0463	0.273	-0.209
202	20.87	0	0.658	0.0353	0.311	-0.122
203	20.96	0	0.683	0.0300	0.283	-0.060
204	21.05	0	0.706	0.0264	0.262	-0.040
205	21.14	0	0.727	0.0227	0.243	-0.043
206	21.22	0	0.744	0.0361	0.192	0.151
207	21.31	0	0.758	0.0445	0.154	0.095
208	21.40	0	0.769	0.0502	0.124	0.064
209	21.49	0	0.775	0.0559	0.071	0.064
210	21.58	0	0.780	0.0666	0.050	0.121
211	21.67	0	0.781	0.0778	0.013	0.124
212	21.76	0	0.780	0.0865	-0.007	0.097
213	21.85	0	0.778	0.0945	-0.023	0.086
214	21.94	0	0.776	0.0967	-0.028	0.025
215	22.03	0	0.773	0.1018	-0.034	0.056
216	22.12	0	0.770	0.1039	-0.033	0.024
217	22.21	0	0.768	0.1015	-0.024	-0.025
218	22.30	0	0.765	0.1035	-0.032	0.022
219	22.39	0	0.763	0.1037	-0.017	0.002
220	22.48	0	0.762	0.0991	-0.018	-0.052
221	22.57	0	0.761	0.1013	-0.014	0.025
222	22.66	0	0.760	0.0989	-0.011	-0.028
223	22.74	0	0.759	0.0929	-0.004	-0.067
224	22.83	0	0.758	0.0907	-0.009	-0.026
225	22.92	0	0.759	0.0901	0.000	-0.007
226	23.01	0	0.759	0.0936	0.004	0.039
227	23.10	0	0.759	0.0888	-0.002	-0.053
228	23.19	0	0.759	0.0909	0.002	0.023
229	23.28	0	0.758	0.0940	-0.005	0.036
230	23.38	0	0.758	0.0975	-0.003	0.034
231	23.47	0	0.758	0.0997	-0.005	0.024
232	23.56	0	0.757	0.1014	-0.003	0.020
233	23.65	0	0.757	0.0965	-0.005	-0.056
234	23.73	0	0.756	0.0964	-0.009	-0.000
235	23.82	0	0.756	0.0920	-0.006	-0.050
236	23.91	0	0.754	0.0898	-0.013	-0.026
237	24.00	0	0.753	0.0870	-0.018	-0.031
238	24.08	0	0.751	0.0866	-0.018	-0.004
239	24.17	0	0.750	0.0848	-0.015	-0.021
240	24.26	0	0.748	0.0835	-0.021	-0.015
241	24.35	0	0.746	0.0824	-0.020	-0.012
242	24.44	0	0.744	0.0791	-0.024	-0.037
243	24.53	0	0.743	0.0762	-0.015	-0.032
244	24.62	0	0.741	0.0755	-0.026	-0.007
245	24.70	0	0.739	0.0782	-0.020	0.030
246	24.80	0	0.738	0.0789	-0.014	0.007
247	24.89	0	0.736	0.0835	-0.016	0.052
248	24.97	0	0.736	0.0896	-0.006	0.070
249	25.06	0	0.735	0.0907	-0.004	0.012
250	25.15	0	0.735	0.0869	-0.000	-0.041
251	25.24	0	0.736	0.0898	0.008	0.031
252	25.33	0	0.737	0.0889	0.008	-0.010
253	25.42	0	0.737	0.0873	0.007	-0.018
254	25.51	0	0.738	0.0893	0.009	0.023
255	25.60	0	0.739	0.0928	0.007	0.040
256	25.69	0	0.739	0.0944	-0.001	0.017
257	25.78	0	0.739	0.0921	0.005	-0.026
258	25.87	0	0.739	0.0919	-0.002	-0.002
259	25.96	0	0.739	0.0914	-0.002	-0.007
260	26.05	0	0.739	0.0909	-0.001	-0.005
261	26.14	0	0.739	0.0916	-0.001	0.008
262	26.23	0	0.738	0.0915	-0.004	-0.001
263	26.32	0	0.738	0.0884	-0.006	-0.035
264	26.41	0	0.737	0.0895	-0.007	0.013
265	26.49	0	0.737	0.0900	-0.005	0.006
266	26.58	0	0.737	0.0885	-0.000	-0.017
267	26.67	0	0.736	0.0893	-0.006	0.009
268	26.76	0	0.736	0.0880	-0.004	-0.014
269	26.84	0	0.736	0.0890	-0.002	0.011
270	26.93	0	0.736	0.0883	0.002	-0.008
271	27.04	0	0.736	0.0853	-0.001	-0.029
272	27.13	0	0.736	0.0853	-0.000	-0.001
273	27.21	0	0.735	0.0849	-0.003	-0.004
274	27.32	0	0.736	0.0852	0.001	0.003
275	27.41	0	0.735	0.0851	-0.002	-0.001
276	27.49	0	0.736	0.0855	0.002	0.005
277	27.58	0	0.736	0.0858	0.002	0.004
278	27.67	0	0.736	0.0861	0.001	0.003
279	27.76	0	0.736	0.0863	0.001	0.003
280	27.85	0	0.736	0.0861	-0.002	-0.003
281	27.95	0	0.736	0.0844	0.001	-0.019
282	28.03	0	0.736	0.0851	0.001	0.008
283	28.12	0	0.736	0.0853	-0.002	0.002
284	28.21	0	0.736	0.0854	-0.002	0.002
285	28.30	0	0.735	0.0882	-0.004	0.032
286	28.39	0	0.735	0.0880	0.003	-0.002
287	28.48	0	0.735	0.0883	-0.001	0.004
288	28.57	0	0.736	0.0879	0.003	-0.004
289	28.66	0	0.736	0.0872	-0.001	-0.008
290	28.74	0	0.735	0.0893	-0.004	0.023
291	28.83	0	0.735	0.0923	0.003	0.034
292	28.92	0	0.735	0.0903	-0.000	-0.023
293	29.01	0	0.736	0.0890	0.003	-0.014
294	29.10	0	0.736	0.0881	0.002	-0.011
295	29.19	0	0.736	0.0869	-0.002	-0.013
296	29.28	0	0.735	0.0849	-0.007	-0.022
297	29.37	0	0.735	0.0851	0.004	0.002
298	29.47	0	0.735	0.0861	-0.000	0.010
299	29.56	0	0.736	0.0847	0.003	-0.016
300	29.65	0	0.735	0.0828	-0.004	-0.021
301	29.76	0	0.735	0.0842	-0.002	0.013
302	29.84	0	0.735	0.0850	0.004	0.009
303	29.93	0	0.736	0.0833	0.003	-0.019
304	30.02	0	0.736	0.0845	0.002	0.013
305	30.11	0	0.736	0.0830	0.002	-0.016
306	30.20	0	0.736	0.0839	-0.002	0.010
307	30.29	0	0.736	0.0846	-0.002	0.008
308	30.38	0	0.736	0.0852	-0.001	0.006
309	30.47	0	0.735	0.0855	-0.001	0.004
310	30.55	0	0.735	0.0843	-0.001	-0.014
311	30.64	0	0.736	0.0832	0.003	-0.012
312	30.73	0	0.735	0.0822	-0.004	-0.011
313	30.82	0	0.735	0.0815	-0.003	-0.008
314	30.93	0	0.735	0.0814	0.001	-0.000
315	31.02	0	0.735	0.0815	0.004	0.001
316	31.11	0	0.735	0.0819	-0.003	0.005
317	31.20	0	0.735	0.0839	0.004	0.022
318	31.29	0	0.735	0.0849	-0.000	0.012
319	31.38	0	0.736	0.0861	0.003	0.013
320	31.47	0	0.736	0.0865	0.005	0.004
321	31.56	0	0.736	0.0866	-0.002	0.002
322	31.65	0	0.736	0.0852	-0.002	-0.017
323	31.73	0	0.736	0.0819	0.001	-0.037
324	31.82	0	0.735	0.0805	-0.005	-0.016
325	31.91	0	0.735	0.0822	-0.001	0.019
326	32.00	0	0.735	0.0817	-0.004	-0.006
327	32.09	0	0.735	0.0839	-0.002	0.026
328	32.18	0	0.735	0.0872	0.001	0.036
329	32.27	0	0.735	0.0880	-0.002	0.009
330	32.35	0	0.734	0.0854	-0.004	-0.030
331	32.44	0	0.735	0.0853	0.006	-0.001
332	32.53	0	0.735	0.0867	-0.001	0.016
333	32.62	0	0.735	0.0866	0.002	-0.001
334	32.71	0	0.736	0.0861	0.005	-0.006
