	time	x	y	theta	v	omega
0	3.07	0.000	0.000	1.5708	0.254	0.300
1	3.14	0.000	0.017	1.5911	-0.000	0.000
2	3.22	0.000	0.017	1.5911	-0.000	-0.000
3	3.29	0.000	0.017	1.5911	0.000	-0.000
4	3.35	0.000	0.017	1.5911	0.000	0.000
5	3.42	0.000	0.017	1.5911	-0.000	-0.000
6	3.49	0.000	0.017	1.5911	0.000	0.000
7	3.55	0.000	0.017	1.5911	-0.000	-0.000
8	3.62	0.000	0.017	1.5911	0.000	0.000
9	3.70	-0.000	0.017	1.5911	0.000	0.000
10	3.77	-0.000	0.017	1.5911	0.000	0.000
11	3.84	-0.000	0.017	1.5911	-0.000	-0.000
12	3.91	0.000	0.017	1.5911	0.000	0.000
13	3.97	0.000	0.017	1.5911	-0.000	-0.000
14	4.04	0.000	0.017	1.5911	-0.000	-0.000
15	4.12	0.000	0.017	1.5911	0.000	0.001
16	4.18	-0.000	0.017	1.5911	0.000	0.000
17	4.26	-0.000	0.017	1.5912	0.000	0.001
18	4.33	-0.000	0.017	1.5912	-0.000	-0.000
19	4.40	-0.000	0.017	1.5912	-0.001	-0.003
20	4.47	0.000	0.017	1.5910	-0.000	-0.001
21	4.55	0.000	0.017	1.5909	0.000	0.001
22	4.61	0.000	0.017	1.5909	0.000	-0.000
23	4.68	0.000	0.017	1.5909	-0.000	0.000
24	4.75	0.000	0.017	1.5909	0.000	0.001
25	4.81	0.000	0.017	1.5910	-0.001	0.003
26	4.88	0.000	0.017	1.5912	-0.001	0.002
27	4.95	0.000	0.017	1.5913	-0.001	0.003
28	5.03	0.000	0.017	1.5916	0.000	0.001
29	5.10	0.000	0.017	1.5916	-0.001	0.001
30	5.17	0.000	0.017	1.5917	-0.001	0.001
31	5.23	0.000	0.017	1.5918	-0.001	-0.003
32	5.30	0.000	0.017	1.5915	-0.001	0.002
33	5.37	0.000	0.017	1.5917	-0.001	0.004
34	5.44	0.000	0.017	1.5919	-0.001	0.004
35	5.50	0.000	0.017	1.5922	-0.001	0.004
36	5.57	0.000	0.016	1.5924	-0.001	0.003
37	5.64	0.000	0.016	1.5926	-0.000	0.001
38	5.73	0.000	0.016	1.5927	-0.000	0.000
39	5.79	0.000	0.016	1.5927	-0.001	0.003
40	5.87	0.000	0.016	1.5930	-0.001	0.003
41	5.94	0.000	0.016	1.5932	-0.001	0.003
42	6.01	0.000	0.016	1.5934	-0.001	0.004
43	6.08	0.000	0.016	1.5937	-0.001	0.004
44	6.16	0.000	0.016	1.5939	-0.001	0.002
45	6.22	0.000	0.016	1.5941	-0.001	0.003
46	6.29	0.000	0.016	1.5943	-0.001	0.002
47	6.36	0.000	0.016	1.5944	0.000	0.001
48	6.43	0.000	0.016	1.5945	-0.001	0.003
49	6.49	0.000	0.016	1.5947	-0.001	0.003
50	6.56	0.000	0.016	1.5949	-0.001	0.003
51	6.64	0.000	0.016	1.5951	-0.000	0.001
52	6.71	0.000	0.016	1.5952	-0.000	0.001
53	6.78	0.000	0.016	1.5952	-0.000	0.001
54	6.86	0.000	0.016	1.5953	0.001	-0.002
55	6.92	0.000	0.016	1.5952	-0.000	0.000
56	6.99	0.000	0.016	1.5952	0.000	0.000
57	7.06	0.000	0.016	1.5952	0.000	-0.000
58	7.14	0.000	0.016	1.5952	-0.000	0.001
59	7.21	0.000	0.016	1.5953	-0.000	0.001
60	7.28	0.000	0.016	1.5954	0.000	0.001
61	7.34	0.000	0.016	1.5954	-0.001	-0.002
62	7.41	0.000	0.016	1.5953	-0.000	-0.001
63	7.48	0.000	0.016	1.5952	-0.000	-0.000
64	7.54	0.000	0.016	1.5952	-0.001	-0.003
65	7.62	0.000	0.016	1.5949	-0.001	-0.003
66	7.69	0.000	0.015	1.5947	-0.001	-0.003
67	7.77	0.000	0.015	1.5945	-0.001	-0.003
68	7.84	0.000	0.015	1.5943	-0.000	-0.001
69	7.90	0.000	0.015	1.5942	-0.000	-0.000
70	7.98	0.000	0.015	1.5942	-0.000	0.000
71	8.05	0.000	0.015	1.5942	0.000	0.000
72	8.12	0.000	0.015	1.5942	-0.000	0.001
73	8.18	0.000	0.015	1.5943	0.000	0.000
74	8.27	0.000	0.015	1.5943	-0.000	0.000
75	8.33	0.000	0.015	1.5943	-0.000	0.000
76	8.40	0.000	0.015	1.5943	-0.000	0.000
77	8.47	0.000	0.015	1.5943	-0.000	0.000
78	8.55	0.000	0.015	1.5944	-0.000	0.001
79	8.61	0.000	0.015	1.5944	-0.000	0.001
80	8.69	0.000	0.015	1.5945	-0.000	0.000
81	8.76	0.000	0.015	1.5945	-0.000	-0.000
82	8.82	0.000	0.015	1.5945	0.000	0.000
83	8.90	0.000	0.015	1.5945	0.000	0.000
84	8.97	0.000	0.015	1.5945	-0.000	0.000
85	9.04	0.000	0.015	1.5945	0.000	0.000
86	9.11	0.000	0.015	1.5945	-0.000	-0.000
87	9.19	0.000	0.015	1.5945	0.000	0.000
88	9.25	0.000	0.015	1.5945	0.000	-0.000
89	9.32	0.000	0.015	1.5945	-0.000	0.000
90	9.39	0.000	0.015	1.5945	-0.000	-0.000
91	9.46	0.000	0.015	1.5945	0.000	0.000
92	9.52	0.000	0.015	1.5945	0.000	0.000
93	9.59	0.000	0.015	1.5945	0.000	0.000
94	9.67	0.000	0.015	1.5945	-0.000	-0.001
95	9.74	0.000	0.015	1.5944	-0.001	-0.004
96	9.81	0.000	0.015	1.5942	-0.000	-0.000
97	9.88	0.000	0.015	1.5942	-0.000	-0.000
98	9.94	0.000	0.015	1.5942	0.000	0.000
99	10.01	0.000	0.015	1.5942	0.000	-0.000
100	10.08	0.000	0.015	1.5942	0.000	0.000
